font-size,font-weight,color,backgroundColor,name,sector
76.8px,400,"rgb(0,71,186)","rgba(0,0,0,0)",Spirit AeroSystems Holdings,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
18px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
16px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Boeing,Aerospace & Defense
43px,700,"rgb(255,255,255)","rgb(109,111,113)",Curtiss-Wright,Aerospace & Defense
43px,700,"rgb(255,255,255)","rgb(165,168,171)",Curtiss-Wright,Aerospace & Defense
36px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Delta Tucker Holdings,Aerospace & Defense
58px,500,"rgb(98,99,101)","rgba(0,0,0,0)",Lockheed Martin,Aerospace & Defense
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Lockheed Martin,Aerospace & Defense
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Lockheed Martin,Aerospace & Defense
58px,500,"rgb(9,155,202)","rgba(0,0,0,0)",Lockheed Martin,Aerospace & Defense
13.3333px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Huntington Ingalls Industries,Aerospace & Defense
33px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Huntington Ingalls Industries,Aerospace & Defense
44px,800,"rgba(0,19,41,0.616)","rgba(0,0,0,0)",Hexcel,Aerospace & Defense
70px,300,"rgb(226,29,34)","rgba(0,0,0,0)",Harris,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
34.6667px,700,"rgb(0,114,198)","rgba(0,0,0,0)",Teledyne Technologies,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
44px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Textron,Aerospace & Defense
30px,400,"rgb(255,255,255)","rgba(0,0,0,0)",TransDigm Group,Aerospace & Defense
36px,800,"rgb(34,34,34)","rgba(0,0,0,0)",Triumph Group,Aerospace & Defense
44px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Textron,Aerospace & Defense
48px,500,"rgb(86,86,86)","rgba(0,0,0,0)",Levi Strauss,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
30px,500,"rgb(153,153,153)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
55px,100,"rgb(153,153,153)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
55px,100,"rgb(153,153,153)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
55px,100,"rgb(153,153,153)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
30px,300,"rgb(255,254,254)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
30px,300,"rgb(255,254,254)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
30px,300,"rgb(255,254,254)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
24px,700,"rgb(102,102,102)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
24px,700,"rgb(102,102,102)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
23.424px,400,"rgb(255,254,254)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
21px,400,"rgb(120,109,101)","rgba(0,0,0,0)",Fossil Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
24px,500,"rgb(153,153,153)","rgba(0,0,0,0)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
60px,300,"rgb(255,255,255)","rgba(0,0,0,0)",VF,Apparel
36px,700,"rgb(51,51,51)","rgba(0,0,0,0)",Wolverine World Wide,Apparel
20px,400,"rgb(0,75,152)","rgb(255,254,254)",G-III Apparel Group,Apparel
26px,400,"rgb(0,0,0)","rgba(0,0,0,0)",PVH,Apparel
60px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Skechers U.S.A.,Apparel
24px,400,"rgb(71,71,71)","rgba(0,0,0,0)",Ralph Lauren,Apparel
40px,700,"rgb(51,51,153)","rgba(0,0,0,0)",Tapestry,Apparel
12px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Under Armour,Apparel
40px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Conduent,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
44.8px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Paychex,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
24px,400,"rgb(102,204,102)","rgba(0,0,0,0)",Graham Holdings,Business Services
24px,400,"rgb(102,204,102)","rgba(0,0,0,0)",Graham Holdings,Business Services
70px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Omnicom Group,Business Services
40px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Conduent,Business Services
40px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Conduent,Business Services
50px,700,"rgb(242,242,242)","rgba(0,0,0,0)",Global Payments,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
36px,300,"rgb(51,51,51)","rgba(0,0,0,0)",Stericycle,Business Services
24px,300,"rgb(51,51,51)","rgba(0,0,0,0)",Stericycle,Business Services
38px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Square,Business Services
48px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Total System Services,Business Services
60px,700,"rgb(34,34,34)","rgba(0,0,0,0)",Cintas,Business Services
48px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Clean Harbors,Business Services
35px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Robert Half International,Business Services
46px,300,"rgb(0,74,124)","rgba(0,0,0,0)",Republic Services,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
66px,400,"rgb(215,25,32)","rgba(0,0,0,0)",Alliance Data Systems,Business Services
112px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
112px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
112px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
40px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Conduent,Business Services
72px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Broadridge Financial Solutions,Business Services
24px,400,"rgb(255,255,255)","rgba(0,0,0,0)",ABM Industries,Business Services
28px,700,"rgb(255,255,255)","rgba(0,0,0,0)",United Rentals,Business Services
40px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Conduent,Business Services
56px,400,"rgb(68,67,61)","rgba(0,0,0,0)",Western Union,Business Services
26px,600,"rgb(67,109,167)","rgba(0,0,0,0)",ManpowerGroup,Business Services
42px,400,"rgb(255,255,255)","rgba(0,0,0,0)",ADP,Business Services
26px,600,"rgb(67,109,167)","rgba(0,0,0,0)",ManpowerGroup,Business Services
26px,600,"rgb(67,109,167)","rgba(0,0,0,0)",ManpowerGroup,Business Services
60px,200,"rgb(255,255,255)","rgba(0,0,0,0)",Mastercard,Business Services
56px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Western Union,Business Services
33px,300,"rgb(0,0,0)","rgba(0,0,0,0)",DST Systems,Business Services
30px,500,"rgb(0,0,0)","rgba(0,0,0,0)",TransUnion,Business Services
50px,100,"rgb(51,51,51)","rgba(0,0,0,0)",Waste Management,Business Services
44px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Blackhawk Network Holdings,Business Services
50px,100,"rgb(51,51,51)","rgba(0,0,0,0)",Waste Management,Business Services
60px,100,"rgb(51,51,51)","rgba(0,0,0,0)",Waste Management,Business Services
65px,300,"rgb(255,255,255)","rgba(0,0,0,0)",TriNet Group,Business Services
54px,300,"rgb(26,31,113)","rgba(0,0,0,0)",Visa,Business Services
30px,400,"rgb(0,100,159)","rgba(0,0,0,0)",Verisk Analytics,Business Services
28px,700,"rgb(0,80,169)","rgba(0,0,0,0)",United Rentals,Business Services
16px,500,"rgb(255,255,255)","rgba(0,0,0,0)",ASGN,Business Services
60px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Waste Management,Business Services
56px,400,"rgb(57,57,57)","rgba(0,0,0,0)",Worldpay,Business Services
26px,600,"rgb(67,109,167)","rgba(0,0,0,0)",ManpowerGroup,Business Services
40.5px,700,"rgb(0,86,91)","rgba(0,0,0,0)",Fidelity National Information Services,Business Services
74px,500,"rgb(255,255,255)","rgba(0,0,0,0)",CoreLogic,Business Services
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",First Data,Business Services
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",First Data,Business Services
36px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Fidelity National Information Services,Business Services
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",ADT,Business Services
47px,500,"rgb(0,0,0)","rgba(0,0,0,0)",TransUnion,Business Services
60px,400,"rgb(48,53,56)","rgba(0,0,0,0)",ADT,Business Services
41.994px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Insperity,Business Services
40.5px,700,"rgb(0,86,91)","rgba(0,0,0,0)",Fidelity National Information Services,Business Services
35px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Iron Mountain,Business Services
40px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Conduent,Business Services
40px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Aramark,Business Services
38px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Kelly Services,Business Services
40.5px,700,"rgb(0,86,91)","rgba(0,0,0,0)",Fidelity National Information Services,Business Services
36px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Aramark,Business Services
44px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Cabot,Chemicals
60px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Ecolab,Chemicals
48px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Chemours,Chemicals
36px,400,"rgb(228,61,44)","rgba(0,0,0,0)",Chemours,Chemicals
36px,400,"rgb(228,61,44)","rgba(0,0,0,0)",Chemours,Chemicals
36px,400,"rgb(228,61,44)","rgba(0,0,0,0)",Chemours,Chemicals
64px,400,"rgb(244,129,88)","rgba(0,0,0,0)",Celanese,Chemicals
60px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Ecolab,Chemicals
36px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Chemours,Chemicals
36px,400,"rgb(228,61,44)","rgba(0,0,0,0)",Chemours,Chemicals
36px,400,"rgb(228,61,44)","rgba(0,0,0,0)",Chemours,Chemicals
60px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Ecolab,Chemicals
60px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Ecolab,Chemicals
40px,400,"rgb(51,51,153)","rgba(0,0,0,0)",DowDuPont,Chemicals
44px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Cabot,Chemicals
60px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Ecolab,Chemicals
32px,400,"rgb(255,255,255)","rgba(0,0,0,0)",A. Schulman,Chemicals
72px,400,"rgb(0,51,153)","rgba(0,0,0,0)",H.B. Fuller,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
32px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Platform Specialty Products,Chemicals
20px,400,"rgb(174,1,10)","rgba(0,0,0,0)",Platform Specialty Products,Chemicals
102px,700,"rgb(255,255,255)","rgba(0,0,0,0)",PolyOne,Chemicals
102px,700,"rgb(255,255,255)","rgba(0,0,0,0)",PolyOne,Chemicals
102px,700,"rgb(255,255,255)","rgba(0,0,0,0)",PolyOne,Chemicals
102px,700,"rgb(255,255,255)","rgba(0,0,0,0)",PolyOne,Chemicals
102px,700,"rgb(255,255,255)","rgba(0,0,0,0)",PolyOne,Chemicals
48px,100,"rgb(53,53,53)","rgba(0,0,0,0)",PolyOne,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
48px,100,"rgb(53,53,53)","rgba(0,0,0,0)",PolyOne,Chemicals
65px,400,"rgb(255,255,255)","rgba(0,0,0,0)",RPM International,Chemicals
56px,800,"rgb(255,255,255)","rgba(0,0,0,0)",Sherwin-Williams,Chemicals
56px,800,"rgb(255,255,255)","rgba(0,0,0,0)",Sherwin-Williams,Chemicals
56px,800,"rgb(255,255,255)","rgba(0,0,0,0)",Sherwin-Williams,Chemicals
56px,800,"rgb(255,255,255)","rgba(0,0,0,0)",Sherwin-Williams,Chemicals
56px,800,"rgb(255,255,255)","rgba(0,0,0,0)",Sherwin-Williams,Chemicals
23px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Stepan,Chemicals
23px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Stepan,Chemicals
23px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Stepan,Chemicals
11px,400,"rgb(17,11,89)","rgba(0,0,0,0)",Valhi,Chemicals
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Valvoline,Chemicals
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Valvoline,Chemicals
40px,200,"rgb(0,175,236)","rgba(0,0,0,0)",Westlake Chemical,Chemicals
34px,400,"rgb(0,62,126)","rgba(0,0,0,0)",RPM International,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
72px,400,"rgb(0,51,153)","rgba(0,0,0,0)",H.B. Fuller,Chemicals
48px,400,"rgb(51,51,51)","rgba(0,0,0,0)",H.B. Fuller,Chemicals
38px,400,"rgb(51,51,51)","rgba(0,0,0,0)",H.B. Fuller,Chemicals
54px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Hexion,Chemicals
54px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Hexion,Chemicals
54px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Hexion,Chemicals
54px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Hexion,Chemicals
54px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Hexion,Chemicals
44px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Cabot,Chemicals
60px,400,"rgb(255,255,255)","rgba(0,0,0,0)",International Flavors & Fragrances,Chemicals
70px,700,"rgb(236,236,236)","rgba(0,0,0,0)",Kraton,Chemicals
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Kraton,Chemicals
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Kraton,Chemicals
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Kraton,Chemicals
28px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Kraton,Chemicals
28px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Kraton,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
42px,300,"rgb(104,96,98)","rgba(0,0,0,0)",Monsanto,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
33.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",PPG Industries,Chemicals
72px,400,"rgb(255,255,255)","rgba(0,0,0,0)",H.B. Fuller,Chemicals
57px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Cabot,Chemicals
70px,700,"rgb(236,236,236)","rgba(0,0,0,0)",Kraton,Chemicals
54px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Albemarle,Chemicals
54px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Albemarle,Chemicals
54px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Albemarle,Chemicals
13.3333px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Albemarle,Chemicals
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",CF Industries Holdings,Chemicals
11px,400,"rgb(77,77,77)","rgba(0,0,0,0)",CMS Energy,Energy
38px,400,"rgb(255,255,255)","rgba(0,0,0,0)",UGI,Energy
20px,400,"rgb(89,89,89)","rgba(0,0,0,0)",UGI,Energy
20px,400,"rgb(89,89,89)","rgba(0,0,0,0)",UGI,Energy
20px,400,"rgb(89,89,89)","rgba(0,0,0,0)",UGI,Energy
20px,400,"rgb(89,89,89)","rgba(0,0,0,0)",UGI,Energy
15px,400,"rgb(89,89,89)","rgb(230,228,228)",UGI,Energy
24px,400,"rgb(68,84,105)","rgba(0,0,0,0)",Arch Coal,Energy
12px,400,"rgb(85,85,85)","rgba(0,0,0,0)",UGI,Energy
24px,400,"rgb(68,84,105)","rgba(0,0,0,0)",Arch Coal,Energy
27px,400,"rgb(68,84,105)","rgba(0,0,0,0)",Arch Coal,Energy
28px,300,"rgb(43,55,67)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
31px,300,"rgb(255,255,255)","rgba(0,0,0,0)",HollyFrontier,Energy
48px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Hawaiian Electric Industries,Energy
38px,400,"rgb(255,255,255)","rgba(0,0,0,0)",UGI,Energy
38px,400,"rgb(255,255,255)","rgba(0,0,0,0)",UGI,Energy
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",MRC Global,Energy
26px,400,"rgb(64,127,108)","rgba(0,0,0,0)",Antero Resources,Energy
64px,700,"rgb(255,255,255)","rgba(0,0,0,0)",National Oilwell Varco,Energy
45px,600,"rgb(0,93,170)","rgba(0,0,0,0)",NGL Energy Partners,Energy
45px,600,"rgb(0,93,170)","rgba(0,0,0,0)",NGL Energy Partners,Energy
45px,600,"rgb(0,93,170)","rgba(0,0,0,0)",NGL Energy Partners,Energy
60px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Murphy Oil,Energy
15px,400,"rgb(0,0,0)","rgba(0,0,0,0)",CMS Energy,Energy
48px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Anadarko Petroleum,Energy
48px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Anadarko Petroleum,Energy
48px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Anadarko Petroleum,Energy
84.98px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Marathon Petroleum,Energy
71px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Marathon Oil,Energy
71px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Marathon Oil,Energy
71px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Marathon Oil,Energy
71px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Marathon Oil,Energy
40px,700,"rgb(51,51,153)","rgba(0,0,0,0)",Andeavor,Energy
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",MRC Global,Energy
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",MRC Global,Energy
40px,500,"rgb(255,255,255)","rgba(0,0,0,0)",MRC Global,Energy
13px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Green Plains,Energy
26px,400,"rgb(136,126,111)","rgba(0,0,0,0)",Apache,Energy
17px,800,"rgb(102,102,102)","rgba(0,0,0,0)",Green Plains,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
30px,600,"rgb(0,117,176)","rgba(0,0,0,0)",AES,Energy
46px,700,"rgb(0,170,62)","rgba(0,0,0,0)",Eversource Energy,Energy
69px,700,"rgb(0,170,62)","rgba(0,0,0,0)",Eversource Energy,Energy
24px,700,"rgb(70,120,190)","rgba(0,0,0,0)",WGL Holdings,Energy
28px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Enterprise Products Partners,Energy
28px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Enterprise Products Partners,Energy
28px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Enterprise Products Partners,Energy
44px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Edison International,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
40.6px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Dynegy,Energy
